2026-03-01,Who was the quizmaster in the first ever Arey Pata Hai?! long-form video?,Nipun,Sanskriti,Swati,::Mohit
2026-03-02,The first time Daniel Craig played James Bond was in which of these movies?,Spectre,No Time to Die,::Casino Royale,Quantum of Solace
2026-03-03,Which rare lunar phenomenon causes the Moon to glow deep red during a total eclipse as Earth’s atmosphere filters sunlight?,::Blood Moon,Full Moon,New Moon,Blue Moon
2026-03-04,"The term ""Exelauno"" described the movement of the 10,000 Greek mercenaries in Xenophon's most famous work Anabasis. What does this term mean?",Surveillance,Blitzkrieg,Mobilisation,::March Forth
2026-03-05,The Gandhi-Irwin Pact resulted in removal of tax on which everyday commodity?,Rice,::Salt,Sugar,Water
2026-03-06,"Who is the author of One Hundred Years of Solitude, often cited as one of the supreme achievements in world literature?",Isabel Allende,Mario Vargas Llosa,::Gabriel Garcia Marquez,Pablo Neruda
2026-03-07,"Boong, the first Indian movie to win a BAFTA, is shot in which language?",::Manipuri,Bhojpuri,Bengali,Marathi
2026-03-08,International Women's Day was officially adopted by the United Nations in which year?,1909,1911,1917,::1975
2026-03-09,Which toy company is credited with launching the Barbie doll?,Hasbro,::Mattel,Fisher-price,Hamleys
2026-03-10,What is the name of Mario's love interest?,Princess Penelope,Princess Phillipa,::Princess Peach,Princess Pauline
