2026-01-07,Which Indian state has the longest coastline?,::Gujarat,Andhra Pradesh,Tamil Nadu,Maharashtra
2026-01-08,The movie 'The Theory of Everything' is based on the life of which scientist?,Richard Feynman,Albert Einstein,Isaac Newton,::Stephen Hawking
2026-01-09,The 'Bluetooth' name and logo are derived from which historical figure?,A Roman General,A Greek Philosopher,::A Viking King,An Indian Doctor
2026-01-10,Which sport has been played on the surface of the Moon?,Tennis,::Golf,Cricket,Baseball
2026-01-11,"What was the name of the kingdom of King Janaka, father of Sita?",Ayodhya,Kishkindha,::Mithila,Kashi
2026-01-12,Which is the highest peak located entirely within India?,Anamudi ,K2,Kanchenjunga,::Nanda Devi
2026-01-13,"Director of 'Dhurandhar', Aditya Dhar has previously directed which one of these movies? ",Article 370,::Uri: The Surgical Strike,Kabul Express,Jawan
2026-01-14,What is the name of Zerodha's flagship trading app for the share market?,Coins,Growth,::Kite,Zero Loss
2026-01-15,"Born on January 15, 1929, which person delivered the famous 'I Have a Dream' speech?",Winston Churchill,Nelson Mandela,Abraham Lincoln,::Martin Luther King Jr.
2026-01-16,Who narrates the story in the movie Lagaan?,Aamir Khan,::Amitabh Bachchan,Ashutosh Gowariker,Paul Blackthorne
2026-01-17,Whose portrait is featured on the front side of the United States $100 bill?,::Benjamin Franklin,George Washington,Thomas Jefferson,John F. Kennedy
2026-01-18,Which Indian cricketer earned the nickname 'The Wall' for his ability to bat for long periods without getting out?,Virat Kohli,Sachin Tendulkar,Sunil Gavaskar,::Rahul Dravid
2026-01-19,Microwave ovens heat food by vibrating molecules of which specific substance?,Sugar,Oil,::Water,Protein
2026-01-20,"In Greek mythology, which goddess is known for her wisdom, war strategy, and has a city in Greece named after her?",Hera,::Athena,Aphrodite,Artemis
2026-01-21,"Uno, Hot Wheels, Barbie are all brands operated under which parent company?",Lego Group ,Hasbro,Fun School,::Mattel
2026-01-22,What was the name of the divine bow used by Arjuna during the Kurukshetra war?,Sharanga,::Gandiva,Vijaya,Sudarshana Chakra
2026-01-23,What is the main ingredient of a 'hummus'?,::Chickpeas,Potato,Lentils,Soy
2026-01-24,Which 2019 film made history by becoming the first non-English language movie to win the Oscar for Best Picture?,Roma,Slumdog Millionaire ,::Parasite,Anatomy of a Fall
2026-01-25,"Which Indian city’s name originates from the words 'guwa' (areca nut) and 'haat' (market), signifying a place where areca nuts were traded?",Gwalior,Goa,Jorhat,::Guwahati
2026-01-26,"The Constitution of India was adopted on November 26, 1949, but why was January 26 chosen as the day to bring it into force? ",It was the birthday of Dr. B.R. Ambedkar.,It marked the day when the British arrived.,::It marked the anniversary of the 'Purna Swaraj' declaration of 1930.,It was the signing date of the Gandhi–Irwin Pact in 1931.
2026-01-27,The 'M' in M&M's stands for what?,Mars and Mercury,::Mars and Murrie,Milk and Milk,Makers and Masters
2026-01-28,What country has land borders with Finland and North Korea?,::Russia,China,Mongolia,Kazakhstan
2026-01-29,"John Spilsbury, a London mapmaker, created the first known example of what puzzle by dissecting wooden maps for educational purposes?",Rubik's Cube,Sudoku,Crossword Puzzle,::Jigsaw Puzzle
2026-01-30,What vegetable is famously known for warding off vampires in folklore?,::Garlic,Onion,Leek,Bitter gourd
2026-01-31,'Hippopotomonstrosesquippedaliophobia' is fear of?,Hippopotamuses,Heights,::Long words,Spiders
